iter	Passed	Remaining
0	27	5423
1	41	4155
2	67	4444
3	80	3921
4	97	3793
5	115	3739
6	134	3709
7	150	3600
8	169	3586
9	193	3667
10	208	3575
11	231	3620
12	252	3626
13	273	3631
14	290	3582
15	307	3532
16	326	3519
17	349	3529
18	375	3578
19	398	3588
20	428	3649
21	455	3689
22	485	3735
23	512	3760
24	539	3777
25	567	3796
26	594	3806
27	619	3804
28	649	3826
29	676	3833
30	714	3895
31	751	3942
32	779	3943
33	817	3991
34	852	4019
35	889	4052
36	1037	4570
37	1186	5059
38	1252	5171
39	1272	5090
40	1295	5022
41	1320	4969
42	1339	4889
43	1354	4801
44	1369	4718
45	1389	4651
46	1412	4599
47	1430	4528
48	1449	4466
49	1469	4407
50	1490	4355
51	1504	4282
52	1531	4246
53	1552	4196
54	1569	4137
55	1597	4108
56	1616	4054
57	1638	4010
58	1654	3954
59	1669	3896
60	1682	3834
61	1700	3784
62	1724	3750
63	1741	3700
64	1759	3655
65	1778	3610
66	1812	3596
67	1845	3581
68	1877	3565
69	1909	3545
70	1933	3512
71	1963	3490
72	2018	3512
73	2048	3487
74	2063	3439
75	2078	3390
76	2099	3354
77	2123	3320
78	2146	3287
79	2168	3253
80	2187	3213
81	2207	3176
82	2230	3143
83	2253	3111
84	2275	3078
85	2298	3046
86	2327	3023
87	2358	3001
88	2388	2978
89	2419	2957
90	2452	2937
91	2486	2918
92	2519	2898
93	2538	2862
94	2564	2834
95	2583	2799
96	2607	2768
97	2642	2750
98	2675	2729
99	2700	2700
100	2724	2670
101	2754	2646
102	2785	2623
103	2814	2597
104	2841	2570
105	2866	2541
106	2886	2508
107	2905	2475
108	2932	2447
109	2953	2416
110	2972	2383
111	2994	2353
112	3016	2322
113	3072	2317
114	3109	2297
115	3151	2282
116	3184	2259
117	3214	2233
118	3245	2208
119	3282	2188
120	3315	2164
121	3337	2133
122	3363	2105
123	3393	2079
124	3423	2054
125	3458	2030
126	3493	2008
127	3528	1984
128	3559	1959
129	3591	1933
130	3624	1909
131	3661	1886
132	3692	1860
133	3719	1831
134	3758	1809
135	3795	1786
136	3833	1762
137	3904	1754
138	3931	1725
139	3959	1696
140	3993	1670
141	4038	1649
142	4097	1633
143	4141	1610
144	4180	1585
145	4206	1555
146	4232	1525
147	4257	1495
148	4294	1470
149	4321	1440
150	4349	1411
151	4388	1385
152	4424	1359
153	4468	1334
154	4531	1315
155	4580	1291
156	4613	1263
157	4649	1235
158	4679	1206
159	4712	1178
160	4740	1148
161	4765	1117
162	4788	1086
163	4814	1056
164	4845	1027
165	4891	1001
166	4932	974
167	4972	947
168	5004	917
169	5036	888
170	5060	858
171	5085	827
172	5105	796
173	5128	766
174	5151	735
175	5175	705
176	5198	675
177	5219	645
178	5242	615
179	5265	585
180	5291	555
181	5328	527
182	5368	498
183	5408	470
184	5464	443
185	5500	414
186	5535	384
187	5560	354
188	5581	324
189	5603	294
190	5629	265
191	5653	235
192	5675	205
193	5694	176
194	5721	146
195	5750	117
196	5779	88
197	5806	58
198	5833	29
199	5881	0
