iter	Logloss
0	0.6845716282
1	0.6765715982
2	0.6711470391
3	0.6631792453
4	0.6553196393
5	0.648827902
6	0.6419544293
7	0.6352411838
8	0.6287255675
9	0.6232802491
10	0.6155883031
11	0.6095168399
12	0.6026030994
13	0.5960454284
14	0.5904381806
15	0.5852008392
16	0.5801462284
17	0.5751041733
18	0.5703583133
19	0.5643584332
20	0.5588009398
21	0.5535824723
22	0.5493631562
23	0.5445888433
24	0.5391662293
25	0.5351135829
26	0.5307430648
27	0.526200485
28	0.522145292
29	0.5178565657
30	0.5131904423
31	0.5101108973
32	0.5064281206
33	0.5030638663
34	0.4991865608
35	0.4958031114
36	0.4920646634
37	0.4888269457
38	0.48374691
39	0.480690026
40	0.4773951462
41	0.4745280743
42	0.4710787643
43	0.4680732457
44	0.4645896327
45	0.4622709795
46	0.4598594526
47	0.4568594479
48	0.4545562435
49	0.4518799056
50	0.4491369364
51	0.4465684984
52	0.4451933708
53	0.4421936761
54	0.4397865226
55	0.4372212973
56	0.4347466747
57	0.4325172913
58	0.4304857202
59	0.4284428404
60	0.4263437989
61	0.4245402543
62	0.4219542007
63	0.4201869813
64	0.418149175
65	0.4162483728
66	0.414873987
67	0.4132115951
68	0.4109187778
69	0.4083729152
70	0.4056821176
71	0.4036922486
72	0.4021883135
73	0.4007218681
74	0.3990210794
75	0.3976481946
76	0.395797106
77	0.3942714972
78	0.3928858053
79	0.3911919655
80	0.3898830251
81	0.3883781315
82	0.3870490242
83	0.3858976676
84	0.3844279168
85	0.3831395696
86	0.3818534285
87	0.3806627978
88	0.3794217001
89	0.378080095
90	0.3767500189
91	0.3755799007
92	0.3744658647
93	0.3730589412
94	0.371797906
95	0.3706840093
96	0.3695819859
97	0.3686397968
98	0.3676938384
99	0.3666899914
100	0.3655442628
101	0.3646070857
102	0.3634132374
103	0.3623406073
104	0.3612492414
105	0.3601019248
106	0.3587894262
107	0.3581080145
108	0.3575264536
109	0.3564645083
110	0.3551609867
111	0.3539840992
112	0.3528771118
113	0.3519423866
114	0.3511049613
115	0.350381036
116	0.3495892376
117	0.3487521672
118	0.3480658686
119	0.3470930817
120	0.3462594247
121	0.3449726555
122	0.3441513226
123	0.3435435868
124	0.3426346855
125	0.3420010902
126	0.3411777439
127	0.3406211878
128	0.3397096851
129	0.3389201458
130	0.3383345844
131	0.3374160073
132	0.336757772
133	0.3361163203
134	0.3354792863
135	0.3344828326
136	0.333882845
137	0.3335117283
138	0.3328429613
139	0.3323090304
140	0.3316956562
141	0.3313037956
142	0.3307857294
143	0.3302415526
144	0.3297262879
145	0.3291845975
146	0.3287663366
147	0.3281656638
148	0.3276918589
149	0.3272988752
150	0.3268677315
151	0.3267035134
152	0.326210131
153	0.3257343119
154	0.3252198431
155	0.3246247924
156	0.3241875881
157	0.3237754179
158	0.3234801235
159	0.3229721647
160	0.3225866166
161	0.3220406266
162	0.321651646
163	0.3212455439
164	0.320720254
165	0.3200687091
166	0.3196332191
167	0.3192217066
168	0.3187792552
169	0.3183429205
170	0.3179790485
171	0.3171996567
172	0.3169320025
173	0.3163140958
174	0.3159508424
175	0.3153575006
176	0.3151265579
177	0.3146944084
178	0.3139928285
179	0.3134690725
180	0.3131346146
181	0.3125920965
182	0.3122654206
183	0.3117633038
184	0.3112741862
185	0.3108070381
186	0.3104498196
187	0.3100522563
188	0.3095541361
189	0.3090748551
190	0.308669395
191	0.3083076134
192	0.3079892806
193	0.3077490524
194	0.3075221606
195	0.3069540697
196	0.3064043692
197	0.306064998
198	0.3054269643
199	0.304853886
